condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-06-21 15:31:07.563000,2023-06-21 15:32:07.563000,1.687332667e+18,1.687332727e+18,60.0
EAS,2023-06-21 15:34:12.656452,2023-06-21 15:34:24.569317,1.6873328526564524e+18,1.687332864569317e+18,11.912865
EMS,2023-06-21 15:34:56.639307,2023-06-21 15:35:13.762338,1.687332896639307e+18,1.687332913762338e+18,17.123031
UT,2023-06-21 15:35:42.718429,2023-06-21 15:36:20.694416,1.6873329427184292e+18,1.6873329806944164e+18,37.975987
SD,2023-06-21 15:36:20.694416,2023-06-21 15:36:48.730659,1.6873329806944164e+18,1.6873330087306586e+18,28.036243
RT-P1,2023-06-21 15:36:48.730659,2023-06-21 15:37:00.754618,1.6873330087306586e+18,1.687333020754618e+18,12.023959
RT-P2,2023-06-21 15:37:44.832677,2023-06-21 15:38:12.847571,1.6873330648326769e+18,1.6873330928475707e+18,28.014894
LT-1,2023-06-21 15:38:49.880213,2023-06-21 15:39:00.893594,1.6873331298802127e+18,1.6873331408935944e+18,11.013381
LT-2,2023-06-21 15:39:15.909644,2023-06-21 15:39:25.915568,1.6873331559096443e+18,1.687333165915568e+18,10.005924
RT-1,2023-06-21 15:40:04.971477,2023-06-21 15:40:25.991505,1.6873332049714767e+18,1.6873332259915046e+18,21.020028
RT-2,2023-06-21 15:40:36.997577,2023-06-21 15:40:51.021591,1.6873332369975767e+18,1.6873332510215908e+18,14.024014
RT-3,2023-06-21 15:41:36.087584,2023-06-21 15:41:48.049605,1.6873332960875845e+18,1.6873333080496054e+18,11.962021
RT-4,2023-06-21 15:42:11.137965,2023-06-21 15:42:24.113942,1.687333331137965e+18,1.687333344113942e+18,12.975977
LT-3,2023-06-21 15:43:03.169957,2023-06-21 15:43:21.190493,1.6873333831699574e+18,1.6873334011904932e+18,18.020536
