mode,timestamp,gps.latitude,gps.longitude.fix,gps.altitude,gps.longitude.raw,chassis_gps.gps_valid,chassis_gps.is_gps_fault,chassis_gps.gps_speed,speed_mps,fuel_range_m,throttle_percentage,brake_percentage,steering_percentage,steering_torque_nm,parking_brake,error_code,gear_location
chassis,1686210252633981845,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.275000095367432,0,16.079957962036133,21.39620018005371,-6.489361763000488,-1.1875,0.0,0,1
chassis,1686210252643163643,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.275000095367432,0,16.079957962036133,21.39620018005371,-6.489361763000488,-1.1875,0.0,0,1
chassis,1686210252653288763,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.261111259460449,0,16.079957962036133,21.542686462402344,-6.553191661834717,-1.1875,0.0,0,1
chassis,1686210252663221353,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.261111259460449,0,16.079957962036133,21.542686462402344,-6.553191661834717,-1.1875,0.0,0,1
chassis,1686210252673228916,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.261111259460449,0,16.079957962036133,21.466392517089844,-6.553191661834717,-1.1875,0.0,0,1
chassis,1686210252683309486,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.252777576446533,0,16.144044876098633,21.466392517089844,-6.595744609832764,-1.1875,0.0,0,1
chassis,1686210252693243754,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.252777576446533,0,16.144044876098633,21.466392517089844,-6.595744609832764,-1.1875,0.0,0,1
chassis,1686210252703218258,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.236111164093018,0,16.43549156188965,21.603723526000977,-6.680850982666016,-1.25,0.0,0,1
chassis,1686210252713170038,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.236111164093018,0,16.43549156188965,21.603723526000977,-6.680850982666016,-1.25,0.0,0,1
chassis,1686210252723232615,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.222222328186035,0,16.679636001586914,21.70138168334961,-6.744680881500244,-1.25,0.0,0,1
chassis,1686210252733258237,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.222222328186035,0,16.679636001586914,21.70138168334961,-6.744680881500244,-1.25,0.0,0,1
chassis,1686210252743244359,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.205555438995361,0,17.152666091918945,21.80056381225586,-6.808510780334473,-1.3125,0.0,0,1
chassis,1686210252753590670,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.205555438995361,0,17.152666091918945,21.80056381225586,-6.808510780334473,-1.3125,0.0,0,1
chassis,1686210252763184826,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.19444465637207,0,17.39681053161621,21.79903793334961,-6.872340202331543,-1.3125,0.0,0,1
chassis,1686210252773219166,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.19444465637207,0,17.39681053161621,21.79903793334961,-6.872340202331543,-1.3125,0.0,0,1
chassis,1686210252783221842,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.1777777671813965,0,17.36476707458496,21.870756149291992,-6.936170101165772,-1.3125,0.0,0,1
chassis,1686210252793144838,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.1777777671813965,0,17.36476707458496,21.870756149291992,-6.936170101165772,-1.3125,0.0,0,1
chassis,1686210252803314463,38.013398,113.629485,0.0,113.629485,1.0,0.0,0.0,6.1583333015441895,0,17.299152374267578,21.876859664916992,-6.978723526000977,-1.25,0.0,0,1
