1683446126.00,timestamp
-0.00,1683446126.0
-0.00,1683446126.015625
-0.00,1683446126.03125
-0.00,1683446126.046875
-0.00,1683446126.0625
-0.00,1683446126.078125
-0.00,1683446126.09375
-0.00,1683446126.109375
-0.00,1683446126.125
-0.00,1683446126.140625
0.00,1683446126.15625
0.01,1683446126.171875
0.01,1683446126.1875
-0.00,1683446126.203125
-0.03,1683446126.21875
-0.05,1683446126.234375
-0.05,1683446126.25
0.00,1683446126.265625
0.13,1683446126.28125
0.36,1683446126.296875
0.66,1683446126.3125
1.01,1683446126.328125
1.37,1683446126.34375
1.72,1683446126.359375
2.06,1683446126.375
2.40,1683446126.390625
2.79,1683446126.40625
3.24,1683446126.421875
3.80,1683446126.4375
4.42,1683446126.453125
5.06,1683446126.46875
5.66,1683446126.484375
6.20,1683446126.5
6.68,1683446126.515625
7.15,1683446126.53125
7.68,1683446126.546875
8.31,1683446126.5625
9.14,1683446126.578125
10.09,1683446126.59375
11.04,1683446126.609375
11.88,1683446126.625
12.56,1683446126.640625
13.14,1683446126.65625
13.76,1683446126.671875
14.65,1683446126.6875
15.96,1683446126.703125
17.91,1683446126.71875
20.32,1683446126.734375
22.90,1683446126.75
25.38,1683446126.765625
27.58,1683446126.78125
29.57,1683446126.796875
31.68,1683446126.8125
34.32,1683446126.828125
37.81,1683446126.84375
42.54,1683446126.859375
48.15,1683446126.875
54.10,1683446126.890625
59.83,1683446126.90625
64.97,1683446126.921875
69.58,1683446126.9375
74.14,1683446126.953125
79.34,1683446126.96875
85.71,1683446126.984375
93.76,1683446127.0
103.00,1683446127.015625
112.62,1683446127.03125
121.73,1683446127.046875
129.77,1683446127.0625
136.75,1683446127.078125
143.30,1683446127.09375
150.75,1683446127.109375
157.77,1683446127.125
166.64,1683446127.140625
177.95,1683446127.15625
191.79,1683446127.171875
206.97,1683446127.1875
220.57,1683446127.203125
228.25,1683446127.21875
225.36,1683446127.234375
208.53,1683446127.25
176.87,1683446127.265625
132.76,1683446127.28125
80.05,1683446127.296875
23.07,1683446127.3125
-34.94,1683446127.328125
-92.44,1683446127.34375
-149.16,1683446127.359375
-205.23,1683446127.375
-260.37,1683446127.390625
-313.74,1683446127.40625
-363.87,1683446127.421875
-409.83,1683446127.4375
-450.91,1683446127.453125
-486.50,1683446127.46875
-515.74,1683446127.484375
-537.23,1683446127.5
-549.22,1683446127.515625
-549.96,1683446127.53125
-538.37,1683446127.546875
-514.21,1683446127.5625
-478.67,1683446127.578125
-433.88,1683446127.59375
-382.45,1683446127.609375
-327.02,1683446127.625
-269.84,1683446127.640625
-212.63,1683446127.65625
-156.66,1683446127.671875
-102.95,1683446127.6875
-52.37,1683446127.703125
-5.90,1683446127.71875
35.58,1683446127.734375
71.43,1683446127.75
101.35,1683446127.765625
125.50,1683446127.78125
144.38,1683446127.796875
158.69,1683446127.8125
169.15,1683446127.828125
176.37,1683446127.84375
180.75,1683446127.859375
182.57,1683446127.875
182.07,1683446127.890625
179.51,1683446127.90625
175.23,1683446127.921875
169.65,1683446127.9375
163.18,1683446127.953125
156.15,1683446127.96875
148.81,1683446127.984375
141.30,1683446128.0
133.69,1683446128.015625
126.02,1683446128.03125
118.33,1683446128.046875
110.69,1683446128.0625
103.16,1683446128.078125
95.80,1683446128.09375
88.68,1683446128.109375
81.83,1683446128.125
75.25,1683446128.140625
68.95,1683446128.15625
62.95,1683446128.171875
57.25,1683446128.1875
51.86,1683446128.203125
46.78,1683446128.21875
42.03,1683446128.234375
37.59,1683446128.25
33.45,1683446128.265625
29.61,1683446128.28125
26.07,1683446128.296875
22.81,1683446128.3125
19.83,1683446128.328125
17.11,1683446128.34375
14.67,1683446128.359375
12.48,1683446128.375
10.54,1683446128.390625
8.83,1683446128.40625
7.35,1683446128.421875
6.07,1683446128.4375
4.97,1683446128.453125
4.05,1683446128.46875
3.27,1683446128.484375
2.62,1683446128.5
2.09,1683446128.515625
1.65,1683446128.53125
1.30,1683446128.546875
1.01,1683446128.5625
0.79,1683446128.578125
0.61,1683446128.59375
0.47,1683446128.609375
0.37,1683446128.625
0.28,1683446128.640625
0.23,1683446128.65625
0.18,1683446128.671875
0.15,1683446128.6875
0.13,1683446128.703125
0.13,1683446128.71875
0.13,1683446128.734375
0.14,1683446128.75
0.16,1683446128.765625
0.19,1683446128.78125
0.22,1683446128.796875
0.25,1683446128.8125
0.29,1683446128.828125
0.34,1683446128.84375
0.38,1683446128.859375
0.43,1683446128.875
0.47,1683446128.890625
0.52,1683446128.90625
0.57,1683446128.921875
0.62,1683446128.9375
0.68,1683446128.953125
0.73,1683446128.96875
0.79,1683446128.984375
0.86,1683446129.0
0.93,1683446129.015625
1.01,1683446129.03125
1.09,1683446129.046875
1.19,1683446129.0625
1.30,1683446129.078125
1.42,1683446129.09375
1.55,1683446129.109375
1.71,1683446129.125
1.88,1683446129.140625
2.07,1683446129.15625
2.28,1683446129.171875
2.52,1683446129.1875
2.78,1683446129.203125
3.07,1683446129.21875
3.39,1683446129.234375
3.75,1683446129.25
4.13,1683446129.265625
4.55,1683446129.28125
5.00,1683446129.296875
5.49,1683446129.3125
6.02,1683446129.328125
6.59,1683446129.34375
7.20,1683446129.359375
7.84,1683446129.375
8.54,1683446129.390625
9.27,1683446129.40625
10.05,1683446129.421875
10.88,1683446129.4375
11.74,1683446129.453125
12.65,1683446129.46875
13.61,1683446129.484375
14.63,1683446129.5
15.70,1683446129.515625
16.84,1683446129.53125
18.03,1683446129.546875
19.27,1683446129.5625
20.53,1683446129.578125
21.75,1683446129.59375
