condition,start_time,finish_time,start_timestamp,finish_timestamp,duration
Baseline,2023-05-24 15:29:39.338000,2023-05-24 15:30:39.338000,1.684913379e+18,1.684913439e+18,60.0
EAS,2023-05-24 15:32:46.451180,2023-05-24 15:33:06.471256,1.6849135664511803e+18,1.6849135864712566e+18,20.020076
EMS,2023-05-24 15:33:40.532918,2023-05-24 15:33:58.543332,1.6849136205329178e+18,1.6849136385433324e+18,18.010414
UT,2023-05-24 15:35:29.644288,2023-05-24 15:36:26.722424,1.6849137296442875e+18,1.684913786722424e+18,57.078136
SD,2023-05-24 15:36:26.722424,2023-05-24 15:36:58.749068,1.684913786722424e+18,1.6849138187490683e+18,32.026644
RT-P1,2023-05-24 15:36:58.749068,2023-05-24 15:37:15.777296,1.6849138187490683e+18,1.684913835777296e+18,17.028228
RT-P2,2023-05-24 15:37:48.811372,2023-05-24 15:38:04.832580,1.6849138688113718e+18,1.6849138848325798e+18,16.021208
LT-1,2023-05-24 15:38:52.906256,2023-05-24 15:39:09.908364,1.6849139329062564e+18,1.6849139499083635e+18,17.002108
LT-2,2023-05-24 15:39:26.918431,2023-05-24 15:39:43.920393,1.6849139669184305e+18,1.6849139839203932e+18,17.001962
RT-1,2023-05-24 15:40:39.001909,2023-05-24 15:41:06.013460,1.684914039001909e+18,1.6849140660134597e+18,27.011551
RT-2,2023-05-24 15:41:27.052026,2023-05-24 15:41:49.088823,1.684914087052026e+18,1.6849141090888233e+18,22.036797
RT-3,2023-05-24 15:42:21.124164,2023-05-24 15:42:47.175224,1.6849141411241644e+18,1.6849141671752236e+18,26.05106
RT-4,2023-05-24 15:43:13.182986,2023-05-24 15:43:33.205980,1.6849141931829865e+18,1.6849142132059804e+18,20.022994
LT-3,2023-05-24 15:44:31.280917,2023-05-24 15:44:56.315014,1.684914271280917e+18,1.6849142963150144e+18,25.034097
