mode,timestamp,gps.latitude,gps.longitude.fix,gps.altitude,gps.longitude.raw,chassis_gps.gps_valid,chassis_gps.is_gps_fault,chassis_gps.gps_speed,speed_mps,fuel_range_m,throttle_percentage,brake_percentage,steering_percentage,steering_torque_nm,parking_brake,error_code,gear_location
chassis,1687246677905812057,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.133333206176758,0,16.566720962524414,14.161898612976074,6.42553186416626,1.625,0.0,0,1
chassis,1687246677915658460,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.125,0,16.566720962524414,14.161898612976074,6.446808338165283,1.75,0.0,0,1
chassis,1687246677925690523,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.125,0,16.566720962524414,14.161898612976074,6.446808338165283,1.75,0.0,0,1
chassis,1687246677935767163,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.108333587646484,0,16.54993438720703,14.139009475708008,6.446808338165283,1.6875,0.0,0,1
chassis,1687246677945739321,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.108333587646484,0,16.54993438720703,14.139009475708008,6.446808338165283,1.6875,0.0,0,1
chassis,1687246677955832743,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.108333587646484,0,16.632333755493164,14.142061233520508,6.446808338165283,1.6875,0.0,0,1
chassis,1687246677965825767,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.100000381469728,0,16.55146026611328,14.108491897583008,6.446808338165283,1.625,0.0,0,1
chassis,1687246677975825833,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.100000381469728,0,16.55146026611328,14.108491897583008,6.446808338165283,1.625,0.0,0,1
chassis,1687246677985772382,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.097222328186035,0,16.55146026611328,14.108491897583008,6.446808338165283,1.5,0.0,0,1
chassis,1687246677995731346,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.097222328186035,0,16.583505630493164,14.213778495788574,6.446808338165283,1.5,0.0,0,1
chassis,1687246678005759470,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.091666221618652,0,16.583505630493164,14.213778495788574,6.446808338165283,1.5,0.0,0,1
chassis,1687246678015801147,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.091666221618652,0,16.53467559814453,14.169528007507324,6.446808338165283,1.5,0.0,0,1
chassis,1687246678025704441,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.088889122009276,0,16.53467559814453,14.169528007507324,6.446808338165283,1.4375,0.0,0,1
chassis,1687246678035722899,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.088889122009276,0,16.598764419555664,14.137483596801758,6.446808338165283,1.4375,0.0,0,1
chassis,1687246678045710714,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.086111068725586,0,16.598764419555664,14.137483596801758,6.446808338165283,1.4375,0.0,0,1
chassis,1687246678055770590,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.086111068725586,0,16.53467559814453,14.160372734069824,6.446808338165283,1.4375,0.0,0,1
chassis,1687246678065736821,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.08055591583252,0,16.53467559814453,14.160372734069824,6.446808338165283,1.375,0.0,0,1
chassis,1687246678075846222,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.08055591583252,0,16.566720962524414,14.135957717895508,6.446808338165283,1.375,0.0,0,1
chassis,1687246678085687818,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.074999809265137,0,16.566720962524414,14.135957717895508,6.446808338165283,1.375,0.0,0,1
chassis,1687246678095746392,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.074999809265137,0,16.51789093017578,14.183260917663574,6.446808338165283,1.375,0.0,0,1
chassis,1687246678105823797,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.077777862548828,0,16.51789093017578,14.183260917663574,6.446808338165283,1.5,0.0,0,1
chassis,1687246678115772008,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.077777862548828,0,16.53467559814453,14.181735038757324,6.446808338165283,1.5,0.0,0,1
chassis,1687246678125784076,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.077777862548828,0,16.53467559814453,14.181735038757324,6.446808338165283,1.5,0.0,0,1
chassis,1687246678135818965,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.077777862548828,0,16.53467559814453,14.110017776489258,6.446808338165283,1.5,0.0,0,1
chassis,1687246678145736045,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.06666660308838,0,16.53467559814453,14.110017776489258,6.446808338165283,1.5,0.0,0,1
chassis,1687246678155815990,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.06666660308838,0,16.53467559814453,14.110017776489258,6.446808338165283,1.5,0.0,0,1
chassis,1687246678165804104,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.06666660308838,0,16.615549087524414,14.213778495788574,6.446808338165283,1.5,0.0,0,1
chassis,1687246678175697055,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.05833339691162,0,16.615549087524414,14.216830253601074,6.446808338165283,1.375,0.0,0,1
chassis,1687246678185812438,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.05833339691162,0,16.615549087524414,14.216830253601074,6.446808338165283,1.375,0.0,0,1
chassis,1687246678195711786,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.05555534362793,0,16.615549087524414,14.216830253601074,6.446808338165283,1.125,0.0,0,1
chassis,1687246678205821511,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.05555534362793,0,16.55146026611328,14.166476249694824,6.446808338165283,1.125,0.0,0,1
chassis,1687246678215723268,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.052778244018556,0,16.55146026611328,14.166476249694824,6.446808338165283,1.0625,0.0,0,1
chassis,1687246678225690358,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.052778244018556,0,16.55146026611328,14.158846855163574,6.446808338165283,1.0625,0.0,0,1
chassis,1687246678235703449,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.047222137451172,0,16.55146026611328,14.158846855163574,6.404255390167236,1.0,0.0,0,1
chassis,1687246678245803686,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.047222137451172,0,16.583505630493164,14.134431838989258,6.404255390167236,1.0,0.0,0,1
chassis,1687246678255749018,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.038888931274414,0,16.583505630493164,14.134431838989258,6.382978916168213,0.9375,0.0,0,1
chassis,1687246678265728434,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.038888931274414,0,16.55146026611328,14.557106971740724,6.382978916168213,0.9375,0.0,0,1
chassis,1687246678275792498,38.00866133333333,113.6291,0.0,113.6291,1.0,0.0,0.0,9.030555725097656,0,16.55146026611328,14.557106971740724,6.361701965332031,0.875,0.0,0,1
